Date,High,Low,Open,Close,Volume,Adj Close,MA,MACD,SIGNAL LINE,%K,%D,RSI-7,RSI-14,%R,Trading Signal
2004-11-05,20.786666870117188,20.543333053588867,20.656665802001953,20.713333129882812,3015300.0,13.303272247314453,19.714444478352863,0.281420303271112,0.17321408350042888,96.661590051455,95.89810110795413,77.09858347632179,72.34388749603607,-3.3384099485450025,0.8974358347353183
2004-11-08,20.663333892822266,20.34000015258789,20.58333396911621,20.40333366394043,2888700.0,13.10417652130127,19.79466667175293,0.28416291090315227,0.19544685341231438,82.54932333986868,92.9030765965885,62.74808693714411,64.41967065266033,-17.45067666013132,0.5
2004-11-09,20.91666603088379,20.616666793823242,20.636667251586914,20.793333053588867,4191600.0,13.354652404785156,19.914222208658853,0.31111187375150706,0.21861570954849718,94.11766311244777,91.10952550125715,70.74135691675693,69.0175533250749,-5.882336887552229,0.5
2004-11-10,21.25,20.733333587646484,20.790000915527344,21.09000015258789,4289100.0,13.545187950134277,20.056000010172525,0.3500859699314596,0.24494235243041318,93.41564496632706,90.02754380621451,75.4217208198971,71.98342961698239,-6.58435503367294,0.5
2004-11-11,21.360000610351562,21.09666633605957,21.133333206176758,21.329999923706055,2126100.0,13.699333190917969,20.190000025431313,0.3940226832487923,0.27478797626828605,98.81887103023823,95.45072636967102,78.64574375256146,74.14012986015891,-1.1811289697617768,0.5
2004-11-12,21.536666870117188,21.1733341217041,21.266666412353516,21.5,4072500.0,13.808513641357422,20.350666681925457,0.4363080371837462,0.3071176026202845,98.64028914367357,96.95826838007962,80.73417133921416,75.57443765951285,-1.3597108563264324,1.0
2004-11-15,21.613332748413086,21.290000915527344,21.483333587646484,21.33333396911621,3130200.0,13.701473236083984,20.506000010172524,0.4519767506127188,0.336107806943727,88.99087247335649,95.48334421575608,72.61173103866581,71.39364858417241,-11.009127526643514,1.0
2004-11-16,21.303333282470703,21.066667556762695,21.299999237060547,21.06999969482422,1918500.0,13.532343864440918,20.632888921101888,0.43940398293747407,0.35677752293362885,72.27891288862247,86.63669150188416,61.2522549295422,65.25151947237151,-27.721087111377535,0.5
2004-11-17,21.28333282470703,21.106666564941406,21.15333366394043,21.15999984741211,1985100.0,13.590147018432617,20.72688891092936,0.43124320403418537,0.371676702979189,75.27273370412216,78.84750635536703,63.52735951084407,66.31805914263589,-24.727266295877836,1.0
2004-11-18,21.190000534057617,20.950000762939453,21.139999389648438,21.15999984741211,2292000.0,13.590147018432617,20.786444473266602,0.41989434161193273,0.3813233612253194,75.27273370412216,74.27479343228892,63.52735951084407,66.31805914263589,-24.727266295877836,1.0
2004-11-19,21.139999389648438,20.649999618530273,21.126667022705078,20.766666412353516,2183400.0,13.337526321411133,20.823777770996095,0.37647595628479635,0.38035362848020055,53.818167820439996,68.12121174289477,47.0826269300013,57.38986929047866,-46.181832179560004,0.0
2004-11-22,20.933332443237305,20.65999984741211,20.78333282470703,20.856666564941406,1772400.0,13.395330429077148,20.867555491129558,0.34499917113191003,0.3732812681387671,50.32823524256102,59.80637892237439,50.50300427572179,58.7580329298463,-49.67176475743898,0.09210347995000677
2004-11-23,20.8799991607666,20.696666717529297,20.856666564941406,20.83333396911621,2535600.0,13.380346298217773,20.92688891092936,0.31462608822105054,0.3615482826786304,43.203957656849376,49.1167869066168,49.534612447441944,58.23597222681102,-56.796042343150624,0.0
2004-11-24,21.00666618347168,20.85333251953125,20.866666793823242,20.959999084472656,1659900.0,13.461692810058594,20.969555536905926,0.2969172957600392,0.34862036688015147,48.691043794647335,47.40774556468591,54.99962080089188,60.29822694701231,-51.308956205352665,0.0
2004-11-26,21.299999237060547,20.91666603088379,20.91666603088379,21.25,1833300.0,13.647948265075684,21.0146666208903,0.3018736874009278,0.33927003668665373,71.46599799578486,54.45366648242719,65.09592606066062,64.607271676128,-28.534002004215143,0.5
2004-11-29,21.84000015258789,21.5,21.5,21.823333740234375,7365600.0,14.016180992126465,21.088666661580405,0.34636298763668805,0.3406887475672347,98.6376229966993,72.93155492904383,76.99879784609169,71.25068677377706,-1.3623770033007006,0.5
2004-11-30,21.913333892822266,21.600000381469727,21.78333282470703,21.876667022705078,3312300.0,14.050429344177246,21.186888885498046,0.3813366310022239,0.3488188775622082,97.0976113873158,89.06707745993332,77.81968042267218,71.78131412083941,-2.902388612684211,0.5
2004-12-01,22.14666748046875,21.8266658782959,21.83333396911621,22.08333396911621,3073200.0,14.1831636428833,21.272888946533204,0.42032296473942665,0.3631204736506067,95.76836564991048,97.1678666779752,80.90114593579034,73.79936177188782,-4.231634350089526,0.5
2004-12-02,22.28333282470703,22.043333053588867,22.093334197998047,22.266666412353516,3011400.0,14.300911903381348,21.351333363850912,0.4602388685647938,0.38254499869083386,98.97960732748906,97.28186145490513,83.30201594980812,75.47491467862434,-1.0203926725109391,1.0
2004-12-03,22.389999389648438,22.09000015258789,22.200000762939453,22.16666603088379,2073300.0,14.236685752868652,21.407111104329427,0.4784653463954953,0.4017297367223201,87.164747807919,93.97090692843953,77.13175317147505,72.74228835289337,-12.835252192080995,0.8863616659730892
2004-12-06,22.253334045410156,22.093334197998047,22.133333206176758,22.21666717529297,2668800.0,14.268800735473633,21.454888916015626,0.49115360294447896,0.4196150085353637,90.03837717495323,92.06091077012043,78.0789381736068,73.26353653015693,-9.96162282504678,1.0
2004-12-07,22.280000686645508,21.996665954589844,22.21666717529297,21.996665954589844,2061600.0,14.127501487731934,21.499111048380534,0.47832679675558865,0.43135762804857447,77.39462719550654,84.86591739279292,64.38889417560237,67.17654561627951,-22.605372804493452,0.5
2004-12-08,22.16666603088379,21.96666717529297,22.0,22.136667251586914,1623300.0,14.217419624328613,21.57022221883138,0.47374081201111196,0.4398344160720339,85.44067980545042,84.29122805863672,68.49060273698854,68.94478464371217,-14.559320194549587,0.5
2004-12-09,22.25,22.030000686645508,22.25,22.170000076293945,3040800.0,14.238823890686035,21.6375555674235,0.4673393733499296,0.44533548604150724,87.35635963830526,83.3972222130874,69.46745566945542,69.36789943605451,-12.643640361694734,0.5
2004-12-10,22.713333129882812,22.100000381469727,22.100000381469727,22.616666793823242,2466300.0,14.52569580078125,21.734666697184245,0.49196282049328843,0.45466105941108814,95.29222377658755,89.36308774011441,79.4348128152245,74.40106986778713,-4.707776223412457,0.5
