Date,High,Low,Open,Close,Volume,Adj Close,MA,MACD,SIGNAL LINE,%K,%D,RSI-7,RSI-14,%R,MA_n,MACD_n,SIGNAL LINE_n,%K_n,%D_n,%R_n,RSI-7_n,RSI-14_n,Trend,Trading Signal
2004-11-05,63.709999084472656,62.20000076293945,62.70000076293945,62.220001220703125,1258400.0,38.994110107421875,60.85799967447917,0.09481952720960862,-0.031024114656119102,74.74578912216023,71.54376815925967,61.612978511582114,58.03628168702733,-25.254210877839768,0.9544991248956615,0.5823729445863605,0.6062386333872168,0.7474578912216023,0.7273818118188228,0.7474578912216023,0.654370303436,0.6656222184233207,Up,0.5
2004-11-08,62.880001068115234,62.119998931884766,62.220001220703125,62.68000030517578,839100.0,39.28239059448242,60.83533299763997,0.1913742813559125,0.01354176749926568,82.54238679881473,80.67366956142916,65.1657357296271,60.23412704139837,-17.45761320118527,0.9540371869984173,0.6011611919139406,0.6164983172620133,0.8254238679881474,0.8202050498799528,0.8254238679881474,0.7003052371208107,0.7050055308038616,Up,0.9871816189991784
2004-11-09,63.45000076293945,62.58000183105469,62.58000183105469,62.689998626708984,624900.0,39.28866958618164,60.968666330973306,0.26520464883335393,0.06395235036474944,79.96069887650049,79.08295826582516,65.24729749524136,60.282818905385575,-20.03930112349951,0.9567544675274292,0.6155275813964349,0.6281035322634985,0.7996069887650049,0.8040323699380542,0.7996069887650049,0.7013597798505187,0.7058780430058622,Up,1.0
2004-11-10,63.369998931884766,62.29999923706055,62.939998626708984,62.29999923706055,978600.0,39.04423904418945,61.18733291625976,0.2914374896301837,0.1095057706206975,72.2986285826489,78.26723808598805,58.96448493113773,57.333796372814504,-27.7013714173511,0.9612108059365121,0.6206321368929882,0.6385905610989707,0.722986285826489,0.7957389848171267,0.722986285826489,0.62012693426784,0.6530343452513687,Up,0.5
2004-11-11,62.79999923706055,62.09000015258789,62.650001525878906,62.36000061035156,1033600.0,39.081844329833984,61.36599960327148,0.3129378262992688,0.15023251557100675,73.47743745283154,75.24558830399366,59.661678624323756,57.67683625124292,-26.52256254716847,0.9648519622600121,0.6248158111878129,0.6479664223684227,0.7347743745283154,0.7650180268684703,0.7347743745283154,0.6291412136279116,0.6591812957928436,Up,0.5
2004-11-12,63.47999954223633,62.20000076293945,62.61000061035156,63.459999084472656,653600.0,39.771240234375,61.63333282470703,0.4070881067641423,0.20164436647441922,94.3566595309731,80.04424185548453,70.4131875806124,63.47472269953819,-5.643340469026899,0.9703001074402484,0.6431361805054618,0.659802143152499,0.9435665953097311,0.8138056907612129,0.9435665953097311,0.7681515148132356,0.7630739435107549,Up,1.0
2004-11-15,63.70000076293945,63.099998474121094,63.099998474121094,63.38999938964844,736500.0,39.727359771728516,61.8979995727539,0.47079103591605076,0.2555078403952686,91.91919775741988,86.58443158040818,69.0468860650439,62.88435452780419,-8.080802242580123,0.9756939109488332,0.6555319076654504,0.6722022615412581,0.9191919775741988,0.8802994633727426,0.9191919775741988,0.7504860888752282,0.7524951036116289,Up,1.0
2004-11-16,63.349998474121094,62.91999816894531,63.29999923706055,63.0,616500.0,39.48295211791992,62.065999603271486,0.4861248796509585,0.301654647457475,82.07072604494793,89.44886111111366,61.31360227785534,59.56056586222174,-17.929273955052068,0.9791176850373244,0.658515665960121,0.6828258962454632,0.8207072604494793,0.909421971111416,0.8207072604494793,0.6504995555635588,0.692935950806269,Up,0.8235310617195302
2004-11-17,63.79999923706055,62.97999954223633,63.400001525878906,63.119998931884766,622400.0,39.55815505981445,62.17199961344401,0.5014951686973319,0.34163897127411386,83.20986584507806,85.73326321581531,62.80887168391567,60.25663687163091,-16.79013415492195,0.9812779232652008,0.6615065160187529,0.6920308418779966,0.8320986584507806,0.8716456783802856,0.8320986584507805,0.6698324558415304,0.7054088856959235,Up,1.0
2004-11-18,63.34000015258789,62.689998626708984,63.31999969482422,62.779998779296875,455500.0,39.345069885253906,62.22933298746745,0.4821757987384174,0.3697554610895834,74.81479876761708,80.03179688588105,55.69325888376981,57.24980659205308,-25.185201232382923,0.9824463547219242,0.6577472283046429,0.698503647603459,0.7481479876761707,0.8136791633952226,0.7481479876761707,0.5778320229266822,0.6515293277277647,Up,1.0
2004-11-19,62.93000030517578,61.68000030517578,62.93000030517578,61.7400016784668,472400.0,38.693294525146484,62.244666544596356,0.3829616960679161,0.3723973939702398,49.13585316897793,69.05350592722438,39.659420904056084,49.16774721722472,-50.86414683102207,0.9827588465436257,0.6384415077749961,0.69911185717686,0.49135853168977933,0.7020634437646043,0.49135853168977933,0.3705245039748417,0.5067064590923901,Down,0.0
