Date,High,Low,Open,Close,Volume,Adj Close,MA,Trend,Ntrend,S1,S2,Trading Signal
2005-01-03,8.5,8.180000305175781,8.425000190734863,8.199999809265137,2088400,7.373942852020264,8.08583335876465,,,7.815000057220459,7.637499809265137,
2005-01-04,8.227499961853027,7.792500019073486,8.199999809265137,7.815000057220459,1828800,7.027726650238037,8.07383337020874,,,7.637499809265137,7.474999904632568,
2005-01-05,7.817500114440918,7.534999847412109,7.815000057220459,7.637499809265137,4795200,6.86810827255249,8.048666667938232,,,7.474999904632568,7.442500114440918,
2005-01-06,7.800000190734863,7.400000095367432,7.675000190734863,7.474999904632568,2708000,6.721977233886719,8.00733331044515,,,7.442500114440918,7.4375,
2005-01-07,7.5625,7.442500114440918,7.5,7.442500114440918,974400,6.692752361297607,7.968500010172526,,,7.4375,7.602499961853027,
2005-01-10,7.517499923706055,7.377500057220459,7.387499809265137,7.4375,1193600,6.688254356384277,7.935999997456869,Down,,7.602499961853027,7.545000076293945,0.0
2005-01-11,7.667500019073486,7.449999809265137,7.474999904632568,7.602499961853027,1572400,6.836633205413818,7.911166667938232,Down,,7.545000076293945,7.462500095367432,0.5
2005-01-12,7.587500095367432,7.397500038146973,7.587500095367432,7.545000076293945,1717200,6.784925937652588,7.87933333714803,Down,,7.462500095367432,7.684999942779541,0.18539334270577948
2005-01-13,7.662499904632568,7.445000171661377,7.545000076293945,7.462500095367432,1104800,6.710737705230713,7.838500022888184,Down,,7.684999942779541,7.837500095367432,0.0
2005-01-14,7.699999809265137,7.512499809265137,7.525000095367432,7.684999942779541,971200,6.910823345184326,7.816166655222575,Down,,7.837500095367432,7.570000171661377,0.21495290451845672
2005-01-18,7.997499942779541,7.71999979019165,7.762499809265137,7.837500095367432,1997200,7.0479607582092285,7.805833339691162,Up,,7.570000171661377,7.40500020980835,1.0
2005-01-19,7.857500076293945,7.542500019073486,7.857500076293945,7.570000171661377,1861200,6.807409286499023,7.772666676839193,Down,,7.40500020980835,7.215000152587891,0.5
2005-01-20,7.650000095367432,7.380000114440918,7.572500228881836,7.40500020980835,1743200,6.659029006958008,7.719000021616618,Down,,7.215000152587891,6.914999961853027,0.5
2005-01-21,7.5,7.210000038146973,7.412499904632568,7.215000152587891,2292000,6.488171100616455,7.646833388010661,Down,,6.914999961853027,7.047500133514404,0.5
2005-01-24,7.21750020980835,6.862500190734863,7.21750020980835,6.914999961853027,3212800,6.2183918952941895,7.549666690826416,Down,,7.047500133514404,7.1875,0.0
2005-01-25,7.212500095367432,6.917500019073486,6.917500019073486,7.047500133514404,1862000,6.3375444412231445,7.472833379109701,Down,,7.1875,7.15749979019165,0.0
